tp_id,node,indicator,unused,tech_type
1049,27,1,0,35
1050,27,1,0,36
1051,27,1,0,37
1052,27,1,0,38
1053,27,1,0,39
1054,28,1,0,1
1055,28,1,0,2
1056,28,1,0,3
1057,28,1,0,4
1058,28,1,0,5
1059,28,1,0,6
1060,28,1,0,7
1061,28,1,0,8
1062,28,1,0,9
1063,28,1,0,10
1064,28,1,0,11
1065,28,1,0,12
1066,28,1,0,13
1067,28,1,0,14
1068,28,1,0,15
1069,28,1,0,16
1070,28,1,0,17
1071,28,1,0,18
1072,28,1,0,19
1073,28,1,0,20
1074,28,1,0,21
1075,28,1,0,22
1076,28,1,0,23
1077,28,1,0,24
1078,28,1,0,25
1079,28,1,0,26
1080,28,1,0,27
1081,28,1,0,28
1082,28,1,0,29
1083,28,1,0,30
1084,28,1,0,31
1085,28,1,0,32
1086,28,1,0,33
1087,28,1,0,34
1088,28,1,0,35
1089,28,1,0,36
1090,28,1,0,37
1091,28,1,0,38
1092,28,1,0,39
1093,29,1,0,1
1094,29,1,0,2
1095,29,1,0,3
1096,29,1,0,4
1097,29,1,0,5
1098,29,1,0,6
1099,29,1,0,7
1100,29,1,0,8
1101,29,1,0,9
1102,29,1,0,10
1103,29,1,0,11
1104,29,1,0,12
1105,29,1,0,13
1106,29,1,0,14
1107,29,1,0,15
1108,29,1,0,16
1109,29,1,0,17
1110,29,1,0,18
1111,29,1,0,19
1112,29,1,0,20
1113,29,1,0,21
1114,29,1,0,22
1115,29,1,0,23
1116,29,1,0,24
1117,29,1,0,25
1118,29,1,0,26
1119,29,1,0,27
1120,29,1,0,28
1121,29,1,0,29
1122,29,1,0,30
1123,29,1,0,31
1124,29,1,0,32
1125,29,1,0,33
1126,29,1,0,34
1127,29,1,0,35
1128,29,1,0,36
1129,29,1,0,37
1130,29,1,0,38
1131,29,1,0,39
1132,30,1,0,1
1133,30,1,0,2
1134,30,1,0,3
1135,30,1,0,4
1136,30,1,0,5
1137,30,1,0,6
1138,30,1,0,7
1139,30,1,0,8
1140,30,1,0,9
1141,30,1,0,10
1142,30,1,0,11
1143,30,1,0,12
1144,30,1,0,13
1145,30,1,0,14
1146,30,1,0,15
1147,30,1,0,16
1148,30,1,0,17
1149,30,1,0,18
1150,30,1,0,19
1151,30,1,0,20
1152,30,1,0,21
1153,30,1,0,22
1154,30,1,0,23
1155,30,1,0,24
1156,30,1,0,25
1157,30,1,0,26
1158,30,1,0,27
1159,30,1,0,28
1160,30,1,0,29
1161,30,1,0,30
1162,30,1,0,31
1163,30,1,0,32
1164,30,1,0,33
1165,30,1,0,34
1166,30,1,0,35
1167,30,1,0,36
1168,30,1,0,37
1169,30,1,0,38
1170,30,1,0,39
1171,31,1,0,1
1172,31,1,0,2
1173,31,1,0,3
1174,31,1,0,4
1175,31,1,0,5
1176,31,1,0,6
1177,31,1,0,7
1178,31,1,0,8
1179,31,1,0,9
1180,31,1,0,10
1181,31,1,0,11
1182,31,1,0,12
1183,31,1,0,13
1184,31,1,0,14
1185,31,1,0,15
1186,31,1,0,16
1187,31,1,0,17
1188,31,1,0,18
1189,31,1,0,19
1190,31,1,0,20
1191,31,1,0,21
1192,31,1,0,22
1193,31,1,0,23
1194,31,1,0,24
1195,31,1,0,25
1196,31,1,0,26
1197,31,1,0,27
1198,31,1,0,28
1199,31,1,0,29
1200,31,1,0,30
1201,31,1,0,31
1202,31,1,0,32
1203,31,1,0,33
1204,31,1,0,34
1205,31,1,0,35
1206,31,1,0,36
1207,31,1,0,37
1208,31,1,0,38
1209,31,1,0,39
1210,32,1,0,1
1211,32,1,0,2
1212,32,1,0,3
1213,32,1,0,4
1214,32,1,0,5
1215,32,1,0,6
1216,32,1,0,7
1217,32,1,0,8
1218,32,1,0,9
1219,32,1,0,10
1220,32,1,0,11
1221,32,1,0,12
1222,32,1,0,13
1223,32,1,0,14
1224,32,1,0,15
1225,32,1,0,16
1226,32,1,0,17
1227,32,1,0,18
1228,32,1,0,19
1229,32,1,0,20
1230,32,1,0,21
1231,32,1,0,22
1232,32,1,0,23
1233,32,1,0,24
1234,32,1,0,25
1235,32,1,0,26
1236,32,1,0,27
1237,32,1,0,28
1238,32,1,0,29
1239,32,1,0,30
1240,32,1,0,31
1241,32,1,0,32
1242,32,1,0,33
1243,32,1,0,34
1244,32,1,0,35
1245,32,1,0,36
1246,32,1,0,37
1247,32,1,0,38
1248,32,1,0,39
1249,33,1,0,1
1250,33,1,0,2
1251,33,1,0,3
1252,33,1,0,4
1253,33,1,0,5
1254,33,1,0,6
1255,33,1,0,7
1256,33,1,0,8
1257,33,1,0,9
1258,33,1,0,10
1259,33,1,0,11
1260,33,1,0,12
1261,33,1,0,13
1262,33,1,0,14
1263,33,1,0,15
1264,33,1,0,16
1265,33,1,0,17
1266,33,1,0,18
1267,33,1,0,19
1268,33,1,0,20
1269,33,1,0,21
1270,33,1,0,22
1271,33,1,0,23
1272,33,1,0,24
1273,33,1,0,25
1274,33,1,0,26
1275,33,1,0,27
1276,33,1,0,28
1277,33,1,0,29
1278,33,1,0,30
1279,33,1,0,31
1280,33,1,0,32
1281,33,1,0,33
1282,33,1,0,34
1283,33,1,0,35
1284,33,1,0,36
1285,33,1,0,37
1286,33,1,0,38
1287,33,1,0,39
1288,34,1,0,1
