class,material_class,subclass,resource_name,diacls,owner,fips,county,state,"County Square Miles",scenario_name,scenario_price_offered,production,productionunit,production_energy_content,energy_content_unit,prod_density_dtpersqmi,harvest_costs,harvest_area,harv_area_unit,lipid_based,ash_percentage
forestland,wood,"Forest processing waste","Softwood processing residues",,,55141,"Wood County",Wisconsin,809.25,"mature-market high",54,3009.22,dt,54827897300,BTU,3.72,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55141,"Wood County",Wisconsin,809.25,"mature-market low",54,3009.22,dt,54827897300,BTU,3.72,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55141,"Wood County",Wisconsin,809.25,"mature-market medium",54,3009.22,dt,54827897300,BTU,3.72,0.0,0.0,,No,1.17
forestland,wood,"Forest processing waste","Softwood processing residues",,,55141,"Wood County",Wisconsin,809.25,near-term,54,3009.22,dt,54827897300,BTU,3.72,0.0,0.0,,No,1.17
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55003,"Ashland County",Wisconsin,1054.13,Emerging,40,7335.70,dt,127406437600,BTU,6.96,16.77,863.90,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55003,"Ashland County",Wisconsin,1054.13,"mature-market high",40,7335.70,dt,127406437600,BTU,6.96,16.77,863.90,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55003,"Ashland County",Wisconsin,1054.13,"mature-market low",40,7335.70,dt,127406437600,BTU,6.96,16.77,863.90,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55003,"Ashland County",Wisconsin,1054.13,"mature-market medium",40,7335.70,dt,127406437600,BTU,6.96,16.77,863.90,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55003,"Ashland County",Wisconsin,1054.13,near-term,40,13940.90,dt,242125551200,BTU,13.23,16.77,1864.60,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55005,"Barron County",Wisconsin,889.76,Emerging,40,1967.80,dt,34176750400,BTU,2.21,16.77,268.80,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55005,"Barron County",Wisconsin,889.76,"mature-market high",40,1967.80,dt,34176750400,BTU,2.21,16.77,268.80,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55005,"Barron County",Wisconsin,889.76,"mature-market low",40,1967.80,dt,34176750400,BTU,2.21,16.77,268.80,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55005,"Barron County",Wisconsin,889.76,"mature-market medium",40,1967.80,dt,34176750400,BTU,2.21,16.77,268.80,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55007,"Bayfield County",Wisconsin,1511.34,Emerging,40,2598.50,dt,45130748000,BTU,1.72,16.77,355.00,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55007,"Bayfield County",Wisconsin,1511.34,"mature-market high",40,2598.50,dt,45130748000,BTU,1.72,16.77,355.00,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55007,"Bayfield County",Wisconsin,1511.34,"mature-market low",40,2598.50,dt,45130748000,BTU,1.72,16.77,355.00,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55007,"Bayfield County",Wisconsin,1511.34,"mature-market medium",40,2598.50,dt,45130748000,BTU,1.72,16.77,355.00,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55013,"Burnett County",Wisconsin,880.22,Emerging,40,2396.70,dt,41625885600,BTU,2.72,16.77,327.40,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55013,"Burnett County",Wisconsin,880.22,"mature-market high",40,2396.70,dt,41625885600,BTU,2.72,16.77,327.40,ac,No,0.95
forestland,wood,"Logging residues","Hardwood lowland logging residues","Class 1",Private,55013,"Burnett County",Wisconsin,880.22,"mature-market low",40,2396.70,dt,41625885600,BTU,2.72,16.77,327.40,ac,No,0.95
