class,subclass,resource,fips,county,state_name,usdaregion,"County Square Miles",model_name,scenario_name,price_offered,production,production_unit,btu_ton,production_energy_content,energy_content_unit,production_density_dtpersqmi,landsource
"agriculture land","Agricultural residues","Corn stover",55097,"Portage County",Wisconsin,"Lake States",822.82,POLYSYS,near-term,70,57387.00,dt,15722000,902238414000,BTU,69.74,Crop
"agriculture land","Agricultural residues","Oats straw",55101,"Racine County",Wisconsin,"Lake States",340.39,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55075,"Marinette County",Wisconsin,"Lake States",1429.25,POLYSYS,emerging,70,129989.00,dt,16660000,2165616740000,BTU,90.95,Crop
"agriculture land","Energy crops, woody",Willow,55009,"Brown County",Wisconsin,"Lake States",531.24,POLYSYS,emerging,70,4475.00,dt,17296000,77399600000,BTU,8.42,Pasture
"agriculture land","Agricultural residues","Wheat straw",55067,"Langlade County",Wisconsin,"Lake States",887.79,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55061,"Kewaunee County",Wisconsin,"Lake States",343.95,POLYSYS,near-term,70,92321.00,dt,15722000,1451470762000,BTU,268.41,Crop
"agriculture land","Energy crops, woody",Willow,55071,"Manitowoc County",Wisconsin,"Lake States",594.62,POLYSYS,"mature-market high",70,42751.00,dt,17296000,739421296000,BTU,71.90,Crop
"agriculture land","Agricultural residues","Oats straw",55003,"Ashland County",Wisconsin,"Lake States",1054.13,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Oats straw",55139,"Winnebago County",Wisconsin,"Lake States",578.57,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55141,"Wood County",Wisconsin,"Lake States",809.25,POLYSYS,"mature-market low",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55039,"Fond du Lac County",Wisconsin,"Lake States",765.84,POLYSYS,"mature-market low",70,14679.00,dt,17296000,253887984000,BTU,19.17,Pasture
"agriculture land","Energy crops, herbaceous",Switchgrass,55095,"Polk County",Wisconsin,"Lake States",956.41,POLYSYS,"mature-market low",70,0.00,dt,16424000,0,BTU,0.00,Pasture
"agriculture land","Energy crops, herbaceous",Switchgrass,55021,"Columbia County",Wisconsin,"Lake States",795.99,POLYSYS,"mature-market low",70,0.00,dt,16424000,0,BTU,0.00,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55005,"Barron County",Wisconsin,"Lake States",889.76,POLYSYS,"mature-market high",70,144400.00,dt,16660000,2405704000000,BTU,162.29,Crop
"agriculture land","Agricultural residues","Corn stover",55065,"Lafayette County",Wisconsin,"Lake States",634.57,POLYSYS,emerging,70,302837.00,dt,15722000,4761203314000,BTU,477.23,Crop
"agriculture land","Energy crops, woody",Willow,55089,"Ozaukee County",Wisconsin,"Lake States",235.28,POLYSYS,"mature-market low",70,302.00,dt,17296000,5223392000,BTU,1.28,Pasture
"agriculture land","Intermediate oilseeds",Pennycress,55025,"Dane County",Wisconsin,"Lake States",1237.5,POLYSYS,"mature-market low",400,40966.74,dt,23288300,954045731142,BTU,33.10,Crop
"agriculture land","Agricultural residues","Wheat straw",55009,"Brown County",Wisconsin,"Lake States",531.24,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Poplar,55005,"Barron County",Wisconsin,"Lake States",889.76,POLYSYS,"mature-market medium",70,3656.00,dt,16904000,61801024000,BTU,4.11,Pasture
"agriculture land","Agricultural residues","Wheat straw",55039,"Fond du Lac County",Wisconsin,"Lake States",765.84,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Wheat straw",55115,"Shawano County",Wisconsin,"Lake States",909.4,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55073,"Marathon County",Wisconsin,"Lake States",1576.33,POLYSYS,"mature-market low",70,415517.00,dt,16660000,6922513220000,BTU,263.60,Crop
"agriculture land","Energy crops, woody",Willow,55101,"Racine County",Wisconsin,"Lake States",340.39,POLYSYS,emerging,70,191.00,dt,17296000,3303536000,BTU,0.56,Pasture
"agriculture land","Agricultural residues","Wheat straw",55131,"Washington County",Wisconsin,"Lake States",435.66,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55137,"Waushara County",Wisconsin,"Lake States",637.4,POLYSYS,"mature-market low",400,11303.30,dt,23288300,263234641389,BTU,17.73,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55031,"Douglas County",Wisconsin,"Lake States",1332.11,POLYSYS,emerging,70,1156.00,dt,16660000,19258960000,BTU,0.87,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55003,"Ashland County",Wisconsin,"Lake States",1054.13,POLYSYS,"mature-market medium",70,19151.00,dt,16660000,319055660000,BTU,18.17,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55001,"Adams County",Wisconsin,"Lake States",687.48,POLYSYS,"mature-market high",70,131759.00,dt,16660000,2195104940000,BTU,191.66,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55035,"Eau Claire County",Wisconsin,"Lake States",645.2,POLYSYS,"mature-market low",400,12483.42,dt,23288300,290717629986,BTU,19.35,Crop
"agriculture land","Energy crops, woody",Willow,55061,"Kewaunee County",Wisconsin,"Lake States",343.95,POLYSYS,"mature-market high",70,27868.00,dt,17296000,482004928000,BTU,81.02,Crop
"agriculture land","Agricultural residues","Corn stover",55107,"Rusk County",Wisconsin,"Lake States",930.86,POLYSYS,"mature-market medium",70,11197.00,dt,15722000,176039234000,BTU,12.03,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55035,"Eau Claire County",Wisconsin,"Lake States",645.2,POLYSYS,emerging,70,5670.00,dt,16660000,94462200000,BTU,8.79,Pasture
"agriculture land","Agricultural residues","Wheat straw",55065,"Lafayette County",Wisconsin,"Lake States",634.57,POLYSYS,emerging,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55135,"Waupaca County",Wisconsin,"Lake States",765.17,POLYSYS,"mature-market low",70,21910.00,dt,16660000,365020600000,BTU,28.63,Pasture
"agriculture land","Intermediate oilseeds",Pennycress,55117,"Sheboygan County",Wisconsin,"Lake States",517.64,POLYSYS,"mature-market low",400,14361.77,dt,23288300,334461208291,BTU,27.74,Crop
"agriculture land","Agricultural residues","Oats straw",55119,"Taylor County",Wisconsin,"Lake States",984.56,POLYSYS,near-term,70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Poplar,55019,"Clark County",Wisconsin,"Lake States",1218.67,POLYSYS,"mature-market medium",70,3776.00,dt,16904000,63829504000,BTU,3.10,Pasture
"agriculture land","Intermediate oilseeds",Pennycress,55079,"Milwaukee County",Wisconsin,"Lake States",242.17,POLYSYS,"mature-market medium",400,629.12,dt,23288300,14651135296,BTU,2.60,Crop
"agriculture land","Energy crops, woody",Willow,55115,"Shawano County",Wisconsin,"Lake States",909.4,POLYSYS,"mature-market medium",70,4074.00,dt,17296000,70463904000,BTU,4.48,Pasture
"agriculture land","Energy crops, herbaceous",Miscanthus,55141,"Wood County",Wisconsin,"Lake States",809.25,POLYSYS,"mature-market low",70,29997.00,dt,16660000,499750020000,BTU,37.07,Pasture
"agriculture land","Agricultural residues","Corn stover",55077,"Marquette County",Wisconsin,"Lake States",464.47,POLYSYS,"mature-market medium",70,35491.00,dt,15722000,557989502000,BTU,76.41,Crop
"agriculture land","Agricultural residues","Wheat straw",55115,"Shawano County",Wisconsin,"Lake States",909.4,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55097,"Portage County",Wisconsin,"Lake States",822.82,POLYSYS,"mature-market high",70,27534.00,dt,17296000,476228064000,BTU,33.46,Crop
"agriculture land","Agricultural residues","Wheat straw",55141,"Wood County",Wisconsin,"Lake States",809.25,POLYSYS,"mature-market medium",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Agricultural residues","Corn stover",55077,"Marquette County",Wisconsin,"Lake States",464.47,POLYSYS,"mature-market high",70,41942.00,dt,15722000,659412124000,BTU,90.30,Crop
"agriculture land","Agricultural residues","Oats straw",55049,"Iowa County",Wisconsin,"Lake States",768.05,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Intermediate oilseeds",Pennycress,55075,"Marinette County",Wisconsin,"Lake States",1429.25,POLYSYS,"mature-market medium",400,5522.47,dt,23288300,128608938101,BTU,3.86,Crop
"agriculture land","Energy crops, woody",Willow,55089,"Ozaukee County",Wisconsin,"Lake States",235.28,POLYSYS,emerging,70,305.00,dt,17296000,5275280000,BTU,1.30,Pasture
"agriculture land","Agricultural residues","Wheat straw",55139,"Winnebago County",Wisconsin,"Lake States",578.57,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, woody",Willow,55027,"Dodge County",Wisconsin,"Lake States",907.1,POLYSYS,"mature-market low",70,6274.00,dt,17296000,108515104000,BTU,6.92,Pasture
"agriculture land","Agricultural residues","Wheat straw",55027,"Dodge County",Wisconsin,"Lake States",907.1,POLYSYS,"mature-market high",70,0.00,dt,14892000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55051,"Iron County",Wisconsin,"Lake States",802.62,POLYSYS,"mature-market high",70,3170.00,dt,16660000,52812200000,BTU,3.95,Pasture
"agriculture land","Agricultural residues","Corn stover",55031,"Douglas County",Wisconsin,"Lake States",1332.11,POLYSYS,emerging,70,0.00,dt,15722000,0,BTU,0.00,Crop
"agriculture land","Energy crops, herbaceous",Miscanthus,55001,"Adams County",Wisconsin,"Lake States",687.48,POLYSYS,"mature-market high",70,5418.00,dt,16660000,90263880000,BTU,7.88,Pasture
